Date,V1,V2,V3,I1,I2,I3,Total kW,Total kvar,Total kVA,Total PF,Frequency
2019-9-12 8:36:59.164809,256,358,460,167,158,157,174,172,349,267,50
2019-9-12 8:36:59.231656,256,358,460,167,158,157,174,172,349,267,50
2019-9-12 8:36:59.296639,256,358,460,167,158,157,174,172,349,267,50
2019-9-12 8:36:59.362354,256,358,460,167,158,157,174,172,349,267,50
2019-9-12 8:36:59.428318,256,358,460,167,158,157,174,172,349,267,50
2019-9-12 8:36:59.493956,256,358,460,167,158,157,175,173,350,268,50
2019-9-12 8:36:59.559926,257,359,461,168,159,158,175,173,350,268,50
2019-9-12 8:36:59.626881,257,359,461,168,159,158,175,173,350,268,50
2019-9-12 8:36:59.693293,257,359,461,168,159,158,175,173,350,268,50
2019-9-12 8:36:59.758648,257,359,461,168,159,158,175,173,350,268,50
2019-9-12 8:36:59.824011,257,359,461,168,159,158,175,173,350,268,50
2019-9-12 8:36:59.890735,257,359,461,168,159,158,175,173,350,268,50
2019-9-12 8:36:59.956421,257,359,461,168,159,158,175,173,350,268,50
2019-9-12 8:37:0.21571,258,360,462,169,160,159,176,174,351,269,50
2019-9-12 8:37:0.87326,258,360,462,169,160,159,176,174,351,269,50
2019-9-12 8:37:0.159648,258,360,462,169,160,159,176,174,351,269,50
2019-9-12 8:37:0.226510,258,360,462,169,160,159,176,174,351,269,50
2019-9-12 8:37:0.292697,258,360,462,169,160,159,176,174,351,269,50
2019-9-12 8:37:0.359764,258,360,462,169,160,159,176,174,351,269,50
2019-9-12 8:37:0.425609,258,360,462,169,160,159,176,174,351,269,50
2019-9-12 8:37:0.491980,258,360,462,169,160,159,177,175,352,270,50
2019-9-12 8:37:0.557857,259,361,463,170,161,160,177,175,352,270,50
2019-9-12 8:37:0.623730,259,361,463,170,161,160,177,175,352,270,50
2019-9-12 8:37:0.693832,259,361,463,170,161,160,177,175,352,270,50
2019-9-12 8:37:0.759604,259,361,463,170,161,160,177,175,352,270,50
