Date,V1,V2,V3,I1,I2,I3,Total kW,Total kvar,Total kVA,Total PF,Frequency
2019-9-12 8:37:12.445367,282,384,486,193,184,183,200,198,375,293,50
2019-9-12 8:37:12.511153,282,384,486,193,184,183,200,198,375,293,50
2019-9-12 8:37:12.576933,282,384,486,193,184,183,200,198,375,293,50
2019-9-12 8:37:12.643805,282,384,486,193,184,183,200,198,375,293,50
2019-9-12 8:37:12.710899,283,385,487,194,185,184,201,199,376,294,50
2019-9-12 8:37:12.776231,283,385,487,194,185,184,201,199,376,294,50
2019-9-12 8:37:12.841291,283,385,487,194,185,184,201,199,376,294,50
2019-9-12 8:37:12.908218,283,385,487,194,185,184,201,199,376,294,50
2019-9-12 8:37:12.973262,283,385,487,194,185,184,201,199,376,294,50
2019-9-12 8:37:13.38721,283,385,487,194,185,184,201,199,376,294,50
2019-9-12 8:37:13.104796,283,385,487,194,185,184,201,199,376,294,50
2019-9-12 8:37:13.170524,283,385,487,194,185,184,202,200,377,295,50
2019-9-12 8:37:13.236751,284,386,488,195,186,185,202,200,377,295,50
2019-9-12 8:37:13.302633,284,386,488,195,186,185,202,200,377,295,50
2019-9-12 8:37:13.367836,284,386,488,195,186,185,202,200,377,295,50
2019-9-12 8:37:13.437553,284,386,488,195,186,185,202,200,377,295,50
2019-9-12 8:37:13.502948,284,386,488,195,186,185,202,200,377,295,50
2019-9-12 8:37:13.569049,284,386,488,195,186,185,202,200,377,295,50
2019-9-12 8:37:13.635197,284,386,488,195,186,185,202,200,377,295,50
2019-9-12 8:37:13.703082,285,387,489,196,187,186,203,201,378,296,50
2019-9-12 8:37:13.768970,285,387,489,196,187,186,203,201,378,296,50
2019-9-12 8:37:13.835175,285,387,489,196,187,186,203,201,378,296,50
2019-9-12 8:37:13.901194,285,387,489,196,187,186,203,201,378,296,50
2019-9-12 8:37:13.966842,285,387,489,196,187,186,203,201,378,296,50
2019-9-12 8:37:14.32749,285,387,489,196,187,186,203,201,378,296,50
2019-9-12 8:37:14.98700,285,387,489,196,187,186,203,201,378,296,50
2019-9-12 8:37:14.164909,285,387,489,196,187,186,203,201,378,296,50
2019-9-12 8:37:14.230236,286,388,490,197,188,187,204,202,379,297,50
2019-9-12 8:37:14.296453,286,388,490,197,188,187,204,202,379,297,50
2019-9-12 8:37:14.361769,286,388,490,197,188,187,204,202,379,297,50
2019-9-12 8:37:14.429752,286,388,490,197,188,187,204,202,379,297,50
2019-9-12 8:37:14.495292,286,388,490,197,188,187,204,202,379,297,50
2019-9-12 8:37:14.561218,286,388,490,197,188,187,204,202,379,297,50
2019-9-12 8:37:14.626505,286,388,490,197,188,187,204,202,379,297,50
2019-9-12 8:37:14.692272,286,388,490,197,188,187,204,202,379,297,50
2019-9-12 8:37:14.758044,286,388,490,197,188,187,205,203,380,298,50
2019-9-12 8:37:14.823561,287,389,491,198,189,188,205,203,380,298,50
2019-9-12 8:37:14.889516,287,389,491,198,189,188,205,203,380,298,50
2019-9-12 8:37:14.956305,287,389,491,198,189,188,205,203,380,298,50
2019-9-12 8:37:15.22685,287,389,491,198,189,188,205,203,380,298,50
2019-9-12 8:37:15.88032,287,389,491,198,189,188,205,203,380,298,50
2019-9-12 8:37:15.154023,287,389,491,198,189,188,205,203,380,298,50
2019-9-12 8:37:15.219692,288,390,492,199,190,189,206,204,381,299,50
2019-9-12 8:37:15.285544,288,390,492,199,190,189,206,204,381,299,50
2019-9-12 8:37:15.351440,288,390,492,199,190,189,206,204,381,299,50
2019-9-12 8:37:15.416817,288,390,492,199,190,189,206,204,381,299,50
2019-9-12 8:37:15.484204,288,390,492,199,190,189,206,204,381,299,50
2019-9-12 8:37:15.549971,288,390,492,199,190,189,206,204,381,299,50
2019-9-12 8:37:15.615241,288,390,492,199,190,189,206,204,381,299,50
2019-9-12 8:37:15.681990,288,390,492,199,190,189,206,204,381,299,50
2019-9-12 8:37:15.747777,289,391,493,200,191,190,207,205,382,300,50
2019-9-12 8:37:15.815092,289,391,493,200,191,190,207,205,382,300,50
2019-9-12 8:37:15.880990,289,391,493,200,191,190,207,205,382,300,50
2019-9-12 8:37:15.948920,289,391,493,200,191,190,207,205,382,300,50
2019-9-12 8:37:16.14638,289,391,493,200,191,190,207,205,382,300,50
2019-9-12 8:37:16.79769,289,391,493,200,191,190,207,205,382,300,50
2019-9-12 8:37:16.146220,289,391,493,200,191,190,207,205,382,300,50
2019-9-12 8:37:16.211768,289,391,493,200,191,190,208,206,383,301,50
2019-9-12 8:37:16.277311,290,392,494,201,192,191,208,206,383,301,50
2019-9-12 8:37:16.343123,290,392,494,201,192,191,208,206,383,301,50
2019-9-12 8:37:16.409784,290,392,494,201,192,191,208,206,383,301,50
2019-9-12 8:37:16.475495,290,392,494,201,192,191,208,206,383,301,50
2019-9-12 8:37:16.541827,290,392,494,201,192,191,208,206,383,301,50
2019-9-12 8:37:16.608342,290,392,494,201,192,191,208,206,383,301,50
2019-9-12 8:37:16.674506,290,392,494,201,192,191,208,206,383,301,50
2019-9-12 8:37:16.741406,291,393,495,202,193,192,209,207,384,302,50
2019-9-12 8:37:16.807054,291,393,495,202,193,192,209,207,384,302,50
2019-9-12 8:37:16.872707,291,393,495,202,193,192,209,207,384,302,50
2019-9-12 8:37:16.939004,291,393,495,202,193,192,209,207,384,302,50
2019-9-12 8:37:17.5341,291,393,495,202,193,192,209,207,384,302,50
2019-9-12 8:37:17.71263,291,393,495,202,193,192,209,207,384,302,50
2019-9-12 8:37:17.137399,291,393,495,202,193,192,209,207,384,302,50
2019-9-12 8:37:17.203220,291,393,495,202,193,192,209,207,384,302,50
2019-9-12 8:37:17.269133,292,394,496,203,194,193,210,208,385,303,50
2019-9-12 8:37:17.334830,284,394,496,203,194,193,210,208,385,303,50
2019-9-12 8:37:17.404235,284,394,496,203,194,193,210,208,385,303,50
2019-9-12 8:37:17.469615,284,394,496,203,194,193,210,208,385,303,50
2019-9-12 8:37:17.536157,284,394,496,203,194,193,210,208,385,303,50
2019-9-12 8:37:17.601868,284,394,496,203,194,193,210,208,385,303,50
2019-9-12 8:37:17.667776,284,394,496,203,194,193,210,208,385,303,50
2019-9-12 8:37:17.733847,284,394,496,203,194,193,211,209,386,304,50
2019-9-12 8:37:17.799522,284,395,497,204,195,194,211,209,386,304,50
2019-9-12 8:37:17.867338,284,395,497,204,195,194,211,209,386,304,50
2019-9-12 8:37:17.933297,284,395,497,204,195,194,211,209,386,304,50
2019-9-12 8:37:17.999885,284,395,497,204,195,194,211,209,386,304,50
2019-9-12 8:37:18.64189,284,395,497,204,195,194,211,209,386,304,50
2019-9-12 8:37:18.130459,284,395,497,204,195,194,211,209,386,304,50
2019-9-12 8:37:18.195592,284,395,497,204,195,194,211,209,386,304,50
2019-9-12 8:37:18.261462,284,396,498,205,196,195,212,210,387,305,50
2019-9-12 8:37:18.327338,284,396,498,205,196,195,212,210,387,305,50
2019-9-12 8:37:18.393327,284,396,498,205,196,195,212,210,387,305,50
2019-9-12 8:37:18.460587,284,396,498,205,196,195,212,210,387,305,50
2019-9-12 8:37:18.525731,284,396,498,205,196,195,212,210,387,305,50
2019-9-12 8:37:18.592342,284,396,498,205,196,195,212,210,387,305,50
2019-9-12 8:37:18.661814,284,396,498,205,196,195,212,210,387,305,50
2019-9-12 8:37:18.727173,284,396,498,205,196,195,212,210,387,305,50
2019-9-12 8:37:18.794098,284,397,499,206,197,196,213,211,388,306,50
2019-9-12 8:37:18.862029,284,397,499,206,197,196,213,211,388,306,50
2019-9-12 8:37:18.927770,284,397,499,206,197,196,213,211,388,306,50
2019-9-12 8:37:18.993746,284,397,499,206,197,196,213,211,388,306,50
