Date,V1,V2,V3,I1,I2,I3,Total kW,Total kvar,Total kVA,Total PF,Frequency
2019-9-12 2:54:6.131291,11950,12052,12154,11861,11852,11851,11868,11866,12043,11961,50
2019-9-12 2:54:6.195239,11950,12052,12154,11861,11852,11851,11868,11866,12043,11961,50
2019-9-12 2:54:6.259874,11950,12052,12154,11861,11852,11851,11868,11866,12043,11961,50
2019-9-12 2:54:6.325640,11950,12052,12154,11861,11852,11851,11868,11866,12043,11961,50
2019-9-12 2:54:6.391015,11950,12052,12154,11861,11852,11851,11868,11866,12043,11961,50
2019-9-12 2:54:6.456378,11950,12052,12154,11861,11852,11851,11869,11867,12044,11962,50
2019-9-12 2:54:6.522366,11951,12053,12155,11862,11853,11852,11869,11867,12044,11962,50
2019-9-12 2:54:6.588155,11951,12053,12155,11862,11853,11852,11869,11867,12044,11962,50
2019-9-12 2:54:6.653800,11951,12053,12155,11862,11853,11852,11869,11867,12044,11962,50
2019-9-12 2:54:6.719614,11951,12053,12155,11862,11853,11852,11869,11867,12044,11962,50
2019-9-12 2:54:6.785680,11951,12053,12155,11862,11853,11852,11869,11867,12044,11962,50
2019-9-12 2:54:6.850267,11951,12053,12155,11862,11853,11852,11869,11867,12044,11962,50
2019-9-12 2:54:6.915281,11951,12053,12155,11862,11853,11852,11869,11867,12044,11962,50
2019-9-12 2:54:6.981000,11952,12054,12156,11863,11854,11853,11870,11868,12045,11963,50
2019-9-12 2:54:7.46707,11952,12054,12156,11863,11854,11853,11870,11868,12045,11963,50
2019-9-12 2:54:7.115999,11952,12054,12156,11863,11854,11853,11870,11868,12045,11963,50
2019-9-12 2:54:7.188670,11952,12054,12156,11863,11854,11853,11870,11868,12045,11963,50
2019-9-12 2:54:7.271061,11952,12054,12156,11863,11854,11853,11870,11868,12045,11963,50
2019-9-12 2:54:7.337278,11952,12054,12156,11863,11854,11853,11870,11868,12045,11963,50
2019-9-12 2:54:7.405192,11952,12054,12156,11863,11854,11853,11870,11868,12045,11963,50
2019-9-12 2:54:7.475425,11952,12054,12156,11863,11854,11853,11871,11869,12046,11964,50
2019-9-12 2:54:7.546825,11953,12055,12157,11864,11855,11854,11871,11869,12046,11964,50
2019-9-12 2:54:7.612522,11953,12055,12157,11864,11855,11854,11871,11869,12046,11964,50
2019-9-12 2:54:7.679063,11953,12055,12157,11864,11855,11854,11871,11869,12046,11964,50
2019-9-12 2:54:7.744137,11953,12055,12157,11864,11855,11854,11871,11869,12046,11964,50
2019-9-12 2:54:7.810128,11953,12055,12157,11864,11855,11854,11871,11869,12046,11964,50
2019-9-12 2:54:7.876966,11953,12055,12157,11864,11855,11854,11871,11869,12046,11964,50
2019-9-12 2:54:7.942802,11953,12055,12157,11864,11855,11854,11871,11869,12046,11964,50
2019-9-12 2:54:8.8406,11954,12056,12158,11865,11856,11855,11872,11870,12047,11965,50
2019-9-12 2:54:8.80277,11954,12056,12158,11865,11856,11855,11872,11870,12047,11965,50
2019-9-12 2:54:8.146075,11954,12056,12158,11865,11856,11855,11872,11870,12047,11965,50
2019-9-12 2:54:8.211944,11954,12056,12158,11865,11856,11855,11872,11870,12047,11965,50
2019-9-12 2:54:8.277821,11954,12056,12158,11865,11856,11855,11872,11870,12047,11965,50
2019-9-12 2:54:8.343619,11954,12056,12158,11865,11856,11855,11872,11870,12047,11965,50
2019-9-12 2:54:8.409581,11954,12056,12158,11865,11856,11855,11872,11870,12047,11965,50
2019-9-12 2:54:8.475411,11954,12056,12158,11865,11856,11855,11873,11871,12048,11966,50
2019-9-12 2:54:8.541090,11955,12057,12159,11866,11857,11856,11873,11871,12048,11966,50
2019-9-12 2:54:8.606906,11955,12057,12159,11866,11857,11856,11873,11871,12048,11966,50
2019-9-12 2:54:8.672796,11955,12057,12159,11866,11857,11856,11873,11871,12048,11966,50
2019-9-12 2:54:8.739076,11955,12057,12159,11866,11857,11856,11873,11871,12048,11966,50
2019-9-12 2:54:8.804895,11955,12057,12159,11866,11857,11856,11873,11871,12048,11966,50
2019-9-12 2:54:8.870737,11955,12057,12159,11866,11857,11856,11873,11871,12048,11966,50
2019-9-12 2:54:8.936128,11955,12057,12159,11866,11857,11856,11873,11871,12048,11966,50
2019-9-12 2:54:9.1794,11956,12058,12160,11867,11858,11857,11874,11872,12049,11967,50
2019-9-12 2:54:9.67729,11956,12058,12160,11867,11858,11857,11874,11872,12049,11967,50
2019-9-12 2:54:9.135966,11956,12058,12160,11867,11858,11857,11874,11872,12049,11967,50
2019-9-12 2:54:9.201295,11956,12058,12160,11867,11858,11857,11874,11872,12049,11967,50
2019-9-12 2:54:9.267898,11956,12058,12160,11867,11858,11857,11874,11872,12049,11967,50
2019-9-12 2:54:9.339003,11956,12058,12160,11867,11858,11857,11874,11872,12049,11967,50
2019-9-12 2:54:9.404795,11956,12058,12160,11867,11858,11857,11874,11872,12049,11967,50
2019-9-12 2:54:9.470724,11956,12058,12160,11867,11858,11857,11874,11872,12049,11967,50
2019-9-12 2:54:9.536883,11957,12059,12161,11868,11859,11858,11875,11873,12050,11968,50
2019-9-12 2:54:9.602431,11957,12059,12161,11868,11859,11858,11875,11873,12050,11968,50
2019-9-12 2:54:9.670285,11957,12059,12161,11868,11859,11858,11875,11873,12050,11968,50
2019-9-12 2:54:9.741822,11957,12059,12161,11868,11859,11858,11875,11873,12050,11968,50
2019-9-12 2:54:9.807681,11957,12059,12161,11868,11859,11858,11875,11873,12050,11968,50
2019-9-12 2:54:9.873918,11957,12059,12161,11868,11859,11858,11875,11873,12050,11968,50
2019-9-12 2:54:9.943410,11957,12059,12161,11868,11859,11858,11875,11873,12050,11968,50
2019-9-12 2:54:10.9112,11958,12060,12162,11869,11860,11859,11876,11874,12051,11969,50
2019-9-12 2:54:10.75446,11958,12060,12162,11869,11860,11859,11876,11874,12051,11969,50
2019-9-12 2:54:10.140746,11958,12060,12162,11869,11860,11859,11876,11874,12051,11969,50
2019-9-12 2:54:10.206654,11958,12060,12162,11869,11860,11859,11876,11874,12051,11969,50
2019-9-12 2:54:10.272583,11958,12060,12162,11869,11860,11859,11876,11874,12051,11969,50
2019-9-12 2:54:10.338213,11958,12060,12162,11869,11860,11859,11876,11874,12051,11969,50
2019-9-12 2:54:10.404214,11958,12060,12162,11869,11860,11859,11876,11874,12051,11969,50
2019-9-12 2:54:10.469823,11958,12060,12162,11869,11860,11859,11876,11874,12051,11969,50
2019-9-12 2:54:10.537892,11959,12061,12163,11870,11861,11860,11877,11875,12052,11970,50
2019-9-12 2:54:10.602276,11959,12061,12163,11870,11861,11860,11877,11875,12052,11970,50
2019-9-12 2:54:10.667872,11959,12061,12163,11870,11861,11860,11877,11875,12052,11970,50
2019-9-12 2:54:10.733190,11959,12061,12163,11870,11861,11860,11877,11875,12052,11970,50
2019-9-12 2:54:10.799433,11959,12061,12163,11870,11861,11860,11877,11875,12052,11970,50
2019-9-12 2:54:10.864935,11959,12061,12163,11870,11861,11860,11877,11875,12052,11970,50
2019-9-12 2:54:10.934742,11959,12061,12163,11870,11861,11860,11877,11875,12052,11970,50
2019-9-12 2:54:11.5865,11959,12061,12163,11870,11861,11860,11878,11876,12053,11971,50
2019-9-12 2:54:11.77293,11960,12062,12164,11871,11862,11861,11878,11876,12053,11971,50
2019-9-12 2:54:11.152196,11960,12062,12164,11871,11862,11861,11878,11876,12053,11971,50
2019-9-12 2:54:11.218432,11960,12062,12164,11871,11862,11861,11878,11876,12053,11971,50
2019-9-12 2:54:11.283771,11960,12062,12164,11871,11862,11861,11878,11876,12053,11971,50
2019-9-12 2:54:11.349466,11960,12062,12164,11871,11862,11861,11878,11876,12053,11971,50
2019-9-12 2:54:11.415759,11960,12062,12164,11871,11862,11861,11878,11876,12053,11971,50
2019-9-12 2:54:11.481615,11960,12062,12164,11871,11862,11861,11878,11876,12053,11971,50
2019-9-12 2:54:11.547061,11961,12063,12165,11872,11863,11862,11879,11877,12054,11972,50
2019-9-12 2:54:11.613273,11961,12063,12165,11872,11863,11862,11879,11877,12054,11972,50
2019-9-12 2:54:11.678807,11961,12063,12165,11872,11863,11862,11879,11877,12054,11972,50
2019-9-12 2:54:11.748917,11961,12063,12165,11872,11863,11862,11879,11877,12054,11972,50
2019-9-12 2:54:11.817291,11961,12063,12165,11872,11863,11862,11879,11877,12054,11972,50
2019-9-12 2:54:11.883684,11961,12063,12165,11872,11863,11862,11879,11877,12054,11972,50
2019-9-12 2:54:11.948914,11961,12063,12165,11872,11863,11862,11879,11877,12054,11972,50
2019-9-12 2:54:12.14798,11961,12063,12165,11872,11863,11862,11879,11877,12054,11972,50
2019-9-12 2:54:12.83608,11962,12064,12166,11873,11864,11863,11880,11878,12055,11973,50
2019-9-12 2:54:12.151784,11962,12064,12166,11873,11864,11863,11880,11878,12055,11973,50
2019-9-12 2:54:12.217296,11962,12064,12166,11873,11864,11863,11880,11878,12055,11973,50
2019-9-12 2:54:12.283687,11962,12064,12166,11873,11864,11863,11880,11878,12055,11973,50
2019-9-12 2:54:12.349895,11962,12064,12166,11873,11864,11863,11880,11878,12055,11973,50
2019-9-12 2:54:12.414728,11962,12064,12166,11873,11864,11863,11880,11878,12055,11973,50
2019-9-12 2:54:12.480924,11962,12064,12166,11873,11864,11863,11880,11878,12055,11973,50
2019-9-12 2:54:12.548430,11962,12064,12166,11873,11864,11863,11881,11879,12056,11974,50
2019-9-12 2:54:12.617282,11963,12065,12167,11874,11865,11864,11881,11879,12056,11974,50
2019-9-12 2:54:12.683077,11963,12065,12167,11874,11865,11864,11881,11879,12056,11974,50
2019-9-12 2:54:12.749815,11963,12065,12167,11874,11865,11864,11881,11879,12056,11974,50
