Date,V1,V2,V3,I1,I2,I3,Total kW,Total kvar,Total kVA,Total PF,Frequency,kW L1,kW L2,kW L3,kvar L1,kvar L2,kvar L3,kVA L1,kVA L2,kVA L3,Power factor L1,Power factor L2,Power factor L3
2019-9-30 15:39:4.568264,231,231,231,665,642,651,145,-10,146,-998,0,-153,148,150,2,-8,-4,153,148,150,1000,-999,1000,
2019-9-30 15:39:4.608131,231,231,231,665,642,651,145,-10,145,-998,0,-153,148,150,2,-7,-4,153,148,150,1000,-999,1000,
2019-9-30 15:39:4.648070,231,231,231,663,642,651,145,-10,145,-998,0,-153,148,150,2,-8,-4,153,148,150,1000,-999,1000,
2019-9-30 15:39:4.687373,231,231,231,665,642,651,145,-10,145,-998,0,-153,148,151,2,-8,-4,153,148,151,1000,-999,1000,
2019-9-30 15:39:4.729554,231,231,231,665,642,651,145,-10,146,-998,0,-153,148,150,2,-8,-4,153,148,150,1000,-999,1000,
2019-9-30 15:39:4.768252,231,231,231,665,642,651,145,-10,145,-998,0,-153,148,150,2,-8,-4,153,148,151,1000,-999,1000,
2019-9-30 15:39:4.807538,231,231,231,665,642,651,145,-10,145,-998,0,-153,148,150,2,-8,-4,153,148,150,1000,-999,1000,
2019-9-30 15:39:4.847323,231,231,231,665,642,651,145,-10,145,-998,0,-153,148,150,2,-8,-4,154,148,150,1000,-999,1000,
2019-9-30 15:39:4.887639,231,231,231,665,642,651,145,-10,145,-998,0,-153,148,150,2,-7,-4,153,148,150,1000,-999,1000,
2019-9-30 15:39:4.927296,231,231,231,663,642,651,145,-10,145,-998,0,-153,148,150,2,-7,-4,153,148,150,1000,-999,1000,
2019-9-30 15:39:4.967466,231,231,231,665,642,651,145,-10,145,-998,0,-153,148,150,2,-8,-4,153,148,150,1000,-999,1000,
2019-9-30 15:39:5.7556,231,231,231,665,642,651,145,-10,145,-998,0,-153,148,150,2,-7,-4,153,148,150,1000,-999,1000,
2019-9-30 15:39:5.47467,231,231,231,665,642,651,145,-10,145,-998,0,-153,148,150,2,-8,-4,153,148,150,1000,-999,1000,
2019-9-30 15:39:5.87682,231,231,231,663,642,651,145,-10,145,-998,0,-153,148,150,2,-8,-4,153,148,150,1000,-999,1000,
2019-9-30 15:39:5.127371,231,231,231,665,642,651,145,-10,145,-998,0,-153,148,150,2,-7,-4,153,148,150,1000,-999,1000,
2019-9-30 15:39:5.167300,231,231,231,665,642,651,145,-10,145,-998,0,-153,148,150,2,-8,-4,153,148,150,1000,-999,1000,
2019-9-30 15:39:5.207514,231,231,231,665,642,651,145,-10,145,-998,0,-153,148,150,2,-7,-4,153,148,150,1000,-999,1000,
2019-9-30 15:39:5.247299,231,231,231,665,642,651,145,-10,145,-998,0,-153,148,150,2,-7,-4,153,148,150,1000,-999,1000,
2019-9-30 15:39:5.288312,231,231,231,665,642,651,145,-10,145,-998,0,-153,148,150,2,-8,-4,153,148,150,1000,-999,1000,
2019-9-30 15:39:5.327441,231,231,231,665,645,651,145,-10,145,-998,0,-153,148,150,2,-7,-4,153,149,150,1000,-999,1000,
2019-9-30 15:39:5.367453,231,231,231,665,642,651,145,-10,145,-998,0,-153,148,150,2,-7,-4,153,148,150,1000,-999,1000,
2019-9-30 15:39:5.407456,231,231,231,665,642,651,145,-10,145,-998,0,-153,148,150,2,-8,-4,153,148,150,1000,-999,1000,
2019-9-30 15:39:5.447413,231,231,231,665,642,651,145,-10,145,-998,0,-153,148,150,2,-8,-4,153,148,150,1000,-999,1000,
2019-9-30 15:39:5.487695,231,231,231,665,642,651,145,-10,145,-998,0,-153,148,150,2,-8,-4,153,148,150,1000,-999,1000,
2019-9-30 15:39:5.527409,231,231,231,665,642,651,145,-10,145,-998,0,-153,148,150,2,-7,-4,153,148,150,1000,-999,1000,
2019-9-30 15:39:5.569598,231,231,231,665,642,651,145,-10,146,-998,0,-153,148,150,2,-8,-4,153,148,150,1000,-999,1000,
2019-9-30 15:39:5.608355,231,231,231,665,642,651,145,-10,146,-998,0,-153,148,150,2,-8,-4,153,148,150,1000,-999,1000,
2019-9-30 15:39:5.647343,231,231,231,665,642,651,145,-10,146,-997,0,-153,148,150,2,-8,-4,153,148,150,1000,-999,1000,
2019-9-30 15:39:5.694511,231,231,231,663,642,651,145,-10,145,-998,0,-153,148,151,2,-8,-4,153,148,151,1000,-999,1000,
2019-9-30 15:39:5.733568,231,231,231,665,642,651,145,-10,145,-998,0,-153,148,150,2,-8,-4,153,148,151,1000,-999,1000,
2019-9-30 15:39:5.772451,231,231,231,663,642,651,145,-10,146,-998,0,-153,148,150,2,-8,-4,153,148,150,1000,-999,1000,
2019-9-30 15:39:5.811246,231,231,231,665,642,651,145,-10,145,-998,0,-153,148,150,2,-7,-4,153,148,150,1000,-999,1000,
2019-9-30 15:39:5.850297,231,231,231,663,642,651,145,-10,145,-998,0,-153,148,150,2,-8,-4,153,148,150,1000,-999,1000,
